step etot ke peBond peAngle temp press stressX stressY stressZ AvBondForce
2635090 77274.3052536323 47356.6201048471 13169.0397287546 16748.6454200306 1.00676297298696 0.0291182951008626 -7976.28289608639 -4526.88733159173 -15715.8863414106 -1.25425139224196
2635292 77100.6013931163 47169.9321228259 13244.9258560792 16685.7434142113 1.00279413932897 0.0273164543261203 -5046.14490788187 -8816.97642490359 -12663.1669907339 -1.27681768243206
2635494 76646.1377755193 46823.9734330459 13237.6372150327 16584.5271274406 0.995439340817541 0.0150036103551504 -3842.73469638556 -3548.94177930048 -7207.27903758805 -1.42000808420533
2635696 77569.5332356869 47401.3268285464 13418.3547608601 16749.8516462805 1.00771340133181 0.0241732184855507 -5800.53090363696 -9584.65865310817 -8183.34503487355 -1.33437814105816
2635898 77233.3255855974 47191.2484137374 13435.0782727663 16606.9988990938 1.00324730622229 0.0212211109485594 -5227.29869602824 -6701.0822922044 -8803.39780235895 -1.35035620315902
2636100 76976.6356969795 47189.5311440588 13316.4389743157 16470.665578605 1.00321079847484 0.0284913500880588 -8298.3156249098 -7858.63807522451 -11733.1472289014 -1.24283028489151
2636302 76789.0751018291 47148.5139881446 13226.1766794133 16414.3844342712 1.00233880732048 0.0249199489959884 -5995.47736770179 -7029.95012036885 -11417.3795076456 -1.30424661355925
2636504 76562.3917244169 46773.9754715856 13263.8820769682 16524.5341758631 0.99437642508978 0.0278560710100024 -5132.43123401131 -9231.06307118209 -13013.6998592821 -1.27111428128431
2636706 76582.8365674251 47021.3764290357 13045.1348209893 16516.3253174 0.999635966900214 0.0254085070081705 -6893.74692941444 -5690.35460289959 -12437.3008955057 -1.28845312616095
2636908 76778.2582629277 47042.9292661103 13235.34606664 16499.9829301774 1.0000941625713 0.025077421841444 -8287.30925228148 -4685.05666956641 -11772.0438552407 -1.28731160507274
2637110 77142.4618161648 47511.7837451756 13187.6603466266 16443.0177243626 1.01006162494926 0.029523124439321 -6466.52192015067 -10770.5462059798 -11951.7517757221 -1.25632931864013
2637312 76524.5451864214 46651.5428832798 13427.0847205593 16445.9175825823 0.991773608496866 0.0154740736080277 -2210.2182346329 -4120.71628777518 -8998.18409426893 -1.38895986238292
2637514 77024.4952875447 47264.4918567465 13340.217886942 16419.7855438562 1.00480440185692 0.0301819735676327 -8142.5146701319 -9769.51839641947 -12046.2399611272 -1.23792311930902
2637716 76653.8525220663 46856.4063228245 13221.5695994112 16575.8765998305 0.996128837501718 0.0166272678278913 -4157.42107634532 -1557.93312555644 -10821.1977534624 -1.39307870519753
2637918 76994.1873337022 47038.4536184445 13429.4959344604 16526.2377807973 0.999999013966102 0.0182244608882305 -2242.70746404158 -7919.43746291861 -7998.53084969865 -1.39947556819079
2638120 77227.4197276411 47383.9970609551 13367.7563031716 16475.6663635144 1.00734498466055 0.0256855660423331 -6045.71624596647 -8071.74708518637 -11528.4417478357 -1.31127201941009
2638322 76728.1683799393 46771.1217681172 13412.4807114179 16544.5659004043 0.994315757690343 0.0238365771785269 -4605.33351079479 -7123.88954439857 -12117.1695910365 -1.31935688069
2638524 76401.66738918 46682.4376593138 13393.6654192538 16325.5643106125 0.99243040614207 0.0285339079394909 -5193.43553178204 -10590.5409432511 -12817.4900249716 -1.22551520145764
2638726 77378.6005373224 47494.3035135104 13264.1789076754 16620.1181161366 1.00969000953496 0.0345830128959261 -11215.2048948655 -9026.24663165828 -14491.0822706461 -1.19494169979216
2638928 77089.1257003188 47126.7192436094 13469.5432808644 16492.863175845 1.00187546889483 0.0268285363820376 -8538.43292921854 -8275.22358296436 -10183.3473332022 -1.28791263697275
