Frame,Time,Outer_W,Outer_H,Inner_W,Inner_H,Outer_R,Inner_R
0,775000,201,191,122,127,1.052356021,1.040983607
24,923800,218,194,109,127,1.12371134,1.165137615
48,1072600,226,198,112,127,1.141414141,1.133928571
72,1221400,238,202,102,127,1.178217822,1.245098039
96,1370200,241,206,97,127,1.169902913,1.309278351
120,1519000,250,202,88,127,1.237623762,1.443181818
144,1667800,250,202,88,127,1.237623762,1.443181818
168,1816600,252,202,88,127,1.247524752,1.443181818
192,1965400,252,202,88,127,1.247524752,1.443181818
216,2114200,255,202,88,127,1.262376238,1.443181818
240,2263000,255,202,88,127,1.262376238,1.443181818
