step etot ke peBond peAngle temp press stressX stressY stressZ AvBondForce
1085144 102703.475791909 46902.5054766709 20063.062065511 35737.9082497268 0.997108867771525 0.00592527613902381 -3239.9236283523 333.932718623699 -2831.19326353759 -1.5188621005731
1085346 102629.955034908 46902.1454568921 20112.4998509326 35615.3097270829 0.997101214045773 -0.00336798519908976 1447.90758729689 2697.5254515847 -884.361161951986 -1.59240220004373
1085548 102785.358948767 46777.721582054 20138.5705230194 35869.0668436935 0.994456064331431 -0.000885957675750184 775.677553233467 3038.44229288251 -2956.28601082525 -1.57736572402686
1085750 102353.657299473 46517.3654038148 20022.3504057987 35813.9414898598 0.988921105133344 0.0046730347202138 379.982166813744 -2209.53362508004 -2695.14244778892 -1.5178806959275
1085952 102767.448071457 47004.9985752742 20127.7561310911 35634.6933650922 0.999287787137647 1.93481883367152e-05 2217.62727774561 3204.31189126571 -5440.67316845879 -1.56105448289264
1086154 102994.9295953 47032.5907350061 20039.8793806137 35922.4594796798 0.999874373864092 0.00125130172348821 755.290527108194 -729.13513778895 -1237.73579089767 -1.54937721375036
1086356 102063.582625613 46580.8552815303 19793.4213001999 35689.3060438828 0.990270847954979 0.00317305996969089 5739.8418617464 -3410.56268937863 -5401.61352638174 -1.52745662505469
1086558 102493.302603174 46769.3808859809 19849.5689889174 35874.3527282756 0.99427874796137 -0.00284979555419965 4229.17302842905 1721.55373552953 -3191.39511983141 -1.57151980303217
1086760 103535.577410495 47198.7316569626 20365.6928228129 35971.1529307199 1.0034063938468 0.00425359912364625 -1701.48464485172 257.194391975815 -2674.28262018981 -1.52863679991381
1086962 102772.173614181 47100.5270134129 20062.3680280447 35609.2785727231 1.0013186435242 0.00339648674191198 -3650.56259112091 2121.91861552334 -1760.02469117941 -1.54444697825459
1087164 102259.239070466 46578.305476834 20209.7769208071 35471.1566728251 0.990216641194638 -0.00305778260541233 1469.73113892436 4785.79733356584 -3294.81211810341 -1.59662606740748
1087366 103033.985333435 47211.7380191271 20292.1304138435 35530.1169004641 1.00368289845822 -0.00677168260948592 5962.74189467733 2687.13437884007 -2093.15395678698 -1.61764313192096
1087568 103129.36461311 47252.3361084588 20026.3330185932 35850.6954860583 1.00454598060012 0.0021185679670728 -291.735488827828 2548.6063206044 -4308.18697730278 -1.54666669955412
1087770 103321.3870424 47269.0288491739 20209.8522690413 35842.5059241851 1.00490085460153 0.00473190316327831 -1860.46481866134 568.995702836424 -3290.22451343745 -1.53422700380913
1087972 102707.778554935 47040.5765617747 19921.3456306474 35745.8563625133 1.00004414600327 -0.0051793186596873 1566.99982565234 5159.49598545221 -1711.58944295066 -1.5946883801965
1088174 102908.895009942 47219.2985222302 19904.5857269308 35785.010760781 1.00384362856448 -0.0018290520304699 1979.85275230775 2700.42141082487 -2909.2835603181 -1.55900566383574
1088376 102932.426176659 47203.6344512994 19989.9608097603 35738.8309155993 1.00351062324052 0.00688968007600545 467.697682100224 755.741903763646 -7894.4136575366 -1.51007258115387
1088578 102444.094937754 46761.7905057346 19902.1522905884 35780.1521414311 0.994117382691511 0.00231838439436334 4647.38464349248 776.809177754858 -7668.98342139511 -1.53584326969598
1088780 103072.765984856 47352.2689915216 19939.0772179125 35781.4197754217 1.00667047187988 0.000724882663319766 1728.3719325581 924.639750208819 -3354.88367082259 -1.547841952002
1088982 102943.167789791 47151.7180028137 19980.4277296316 35811.0220573459 1.00240692204925 0.00944968085891344 -2630.56970367112 -1228.20592195516 -5290.93456410202 -1.48641428899198
1089184 102679.463634597 46847.418752722 20042.755030523 35789.2898513519 0.995937769119381 0.00544620243725386 -2633.80270494231 766.108295827359 -3405.62377797002 -1.52542137103609
1089386 102802.43732641 47217.6562643397 19940.5980211877 35644.1830408827 1.00380871550623 0.00211238607197991 3835.70791764171 -1142.35832410111 -4738.68008205134 -1.54001147643205
1089588 103429.992163452 47352.6587695183 20354.8557192182 35722.4776747156 1.00667875824098 0.00236696008532264 648.313333439983 1163.1411572538 -4103.27779506803 -1.56279018417932
1089790 102946.959934378 47209.1051040743 19913.2618424917 35824.5929878116 1.00362692483974 -0.00612971912458483 5390.66029342471 5550.69095219049 -5006.21392492097 -1.60833114218935
1089992 102325.252221 46750.6065780432 20046.9462011959 35527.6994417613 0.993879621544972 0.00324462424299124 -3157.14883304655 3505.12363107331 -3489.60168904909 -1.53411641351857
1090194 102461.295619948 47055.3879006678 19936.421637396 35469.4860818845 1.00035902294222 -0.00150671533137128 879.09488510032 3596.54076039064 -3016.74948559714 -1.56832113740766
1090396 102640.241872437 46866.5418398516 20149.5894269027 35624.1106056822 0.996344310295857 -0.0021155262787565 2756.63195045643 3181.33293405515 -3889.59387194801 -1.5772678244161
1090598 103349.876713736 47463.0176760408 20119.2722017048 35767.5868359904 1.0090248982438 0.00025027030609614 -110.444600265469 2085.16057761826 -2217.04170285287 -1.5739441621126
1090800 102988.833709667 47018.410215536 20228.3036154547 35742.1198786766 0.999572907629622 -0.00400961422278498 5174.52321173693 1330.36983647849 -2622.56001931857 -1.59133865088425
1091002 102672.400397451 47093.8811689016 19935.0569376561 35643.4622908931 1.00117735831078 -0.00347519149385509 5886.55847223101 874.456944618105 -3396.1404017745 -1.57638920036516
1091204 102946.811895953 46796.8256321824 20223.5238736958 35926.4623900747 0.994862200796846 -0.0024350059291061 2862.00222363523 3093.7843912552 -3598.07751399838 -1.57956748531694
1091406 102631.304675853 46976.323921204 19942.6612840617 35712.3194705878 0.998678187467798 0.00657097865285913 -5066.87477326471 1823.88418594316 -3119.39891918186 -1.52001563428526
1091608 102990.837972282 46811.3154841437 20267.3474055374 35912.1750826008 0.99517024318683 -0.000251576294337793 -1636.48613168161 2871.96858922995 -991.892201097636 -1.56584741848943
1091810 102495.680432877 46898.7266871847 19822.3995785913 35774.5541671014 0.997028533800711 -0.00211642417704276 -333.90877883847 872.806963499137 1510.34222330632 -1.58179192878965
1092012 102646.012114453 46769.1424631094 20140.6505194896 35736.2191318541 0.994273679286316 0.000523842967959306 -1633.97873107187 4699.19205916075 -3572.42742487249 -1.567251974333
1092214 103051.474651107 47325.9128780669 20033.8967295709 35691.6650434692 1.00611016248534 -0.00538113957162122 1377.8458410385 4315.51678358041 -483.041947558911 -1.60077331767382
1092416 102530.677040708 46971.5779035642 19771.3912031405 35787.707934003 0.998577291018297 0.00742066500700455 1248.32004873304 -1463.52042195469 -6969.90304380127 -1.50307265061145
1092618 102308.307458541 46602.2484013961 20031.7416441063 35674.317413039 0.990725648168969 -0.00271632166931581 2698.02892633405 2027.44914522641 -2095.3833173147 -1.57628894069574
1092820 102732.983892311 46566.8995828999 20329.7821721026 35836.3021373091 0.989974161227502 0.00552561866140087 1722.47030059609 -4673.82946598954 -2398.85425721964 -1.51271480965559
